source,index,id,isim,brand,status,reasons
curated,525,-MbOlAYA3hM2Qd8YvizW,pirinç fındık,,suspect,suspect_macro_kcal_mismatch
curated,528,-MbOopJTfBEthUwcHEN4,pirinç yufkası,,suspect,suspect_macro_kcal_mismatch
curated,534,-MbOivI3zzfxU7hinoKu,pratik macar salam,,invalid,invalid_kcal_range
curated,539,-MbOoYgSr3Ug7i1goJ42,ramen,,invalid,invalid_kcal_range
curated,541,-MbOlcGQqjDyorJirhXi,rendelenmiş beyaz çikolata,,suspect,suspect_sugar_gt_carb
curated,569,-MbOh3ja4Sj9mm5LIJhC,roka,,invalid,invalid_kcal_range
curated,575,-MbOnvlTytwaHFPyZinX,salçalı su,,suspect,suspect_macro_kcal_mismatch|suspect_sugar_gt_carb
curated,583,-MbOkZWZ4vKIlWpMG6gf,sarımsaklı yoğurt,,suspect,suspect_macro_kcal_mismatch|suspect_sugar_gt_carb
curated,587,-MbOkUj9qy3hrdAZsqsN,shallot soğan,,suspect,suspect_macro_kcal_mismatch|suspect_sugar_gt_carb
curated,597,-MbOo_6led9P9xLdiaPW,soya filizi,,invalid,invalid_kcal_range
curated,598,-MbOfgaY6AVXMDDxnyW7,soya sosu,,invalid,invalid_kcal_range
curated,600,-MbOo8QmbEbQzlrCwji0,soğan suyu,,suspect,suspect_sugar_gt_carb
curated,601,-MbOhtaT5viS6lhx2ni8,soğuk su,,invalid,invalid_kcal_range
curated,604,-MbOeYJ-2UTm9m9mhSfT,su,,invalid,invalid_kcal_range
curated,607,-MbOiLFzSQ3A47QqAz3a,sumak ekşisi,,suspect,suspect_sugar_gt_carb
curated,608,-MbOfEvXgo7pRpgWiPLV,susam,,invalid,invalid_kcal_range
curated,620,-MbOeIE0OZR71enp54Sn,sıcak su,,invalid,invalid_kcal_range
curated,674,-MbOlg612AtEwYy3Bbkq,toblerone çikolata,,suspect,suspect_sugar_gt_carb
curated,693,-MbOmjWFg4DfLw3o1Xlv,toz sebze çeşni,,suspect,suspect_sugar_gt_carb
curated,694,-MbOhZIbtyYMqsWcVS1Z,toz tarhana,,invalid,invalid_kcal_range
curated,697,-MbOefpQKL04ADyTzQR2,toz şeker,,suspect,suspect_sugar_gt_carb
curated,698,-MbOjiTscoB3Q-pampvZ,trabzon peyniri,,suspect,suspect_sugar_gt_carb
curated,699,-MbOe9rTJr7aNiXBKCyp,tuz,,invalid,invalid_kcal_range
curated,700,-MbOh7i8mMTxNnoJ220a,tuz-karabiber,,invalid,invalid_kcal_range
curated,708,-MbOhzKvUeVv7GliW6my,un,,invalid,invalid_kcal_range
curated,709,-MbOehlhahSax9Zi3wT4,vanilin,,invalid,invalid_kcal_range
curated,710,-MbOemV8iDkZk8L3jFrK,vanilya,,suspect,suspect_macro_kcal_mismatch
curated,711,-MbOjgc3ZDJ_ApUtUDOa,vanilya çubuğu,,suspect,suspect_macro_kcal_mismatch
curated,712,-MbOh1mbHRJKNLfTzr0_,vanilya özütü,,suspect,suspect_macro_kcal_mismatch
curated,714,-MbOlzGstJU8Z0hbQBSA,vanilyalı toz puding,,suspect,suspect_missing_core_macro|suspect_sugar_gt_carb
curated,718,-MbOiGW0tKp6DQBKn4aZ,yarma,,invalid,invalid_kcal_range
curated,721,-MbOnCTKITEboS9VbqU3,yağlı kağıt,,invalid,invalid_kcal_range
curated,740,-MbOoXgEwMK-FuHNQb7a,yoğurt kaymağı,,suspect,suspect_sugar_gt_carb
curated,744,-MbOg5HzW1puUZdYF9ny,yulaf sütü,,suspect,suspect_macro_kcal_mismatch|suspect_sugar_gt_carb
curated,745,-MbOlkrBqnDz541RinnC,yulaflı bisküvi,,suspect,suspect_macro_kcal_mismatch
curated,763,-MbOjGH5Gu0csaqpAJ5Z,çemen tozu,,invalid,invalid_kcal_range
curated,766,-MbOlHCyTvk-VpO0wgsN,çikolata kremalı bisküvi,,suspect,suspect_sugar_gt_carb
curated,767,-MbOlXQp68fGADgF-Omt,çikolata kreması,,suspect,suspect_sugar_gt_carb
curated,768,-MbOlQiRaHYYTKf3cqsX,çikolatalı fındıklı puding,,suspect,suspect_sugar_gt_carb
curated,771,-MbOmLtlLkmLF2dgqaPG,çinekop,,invalid,invalid_kcal_range
curated,772,-MbOkY_4TedFO20CFcXT,çiçek enginar),,invalid,invalid_kcal_range
curated,781,-MbOlh2U1qaNYBzzLIh7,çubuk vanilya,,suspect,suspect_macro_kcal_mismatch
curated,782,-MbOmku4ULFXTJGYE2RK,çupra,,invalid,invalid_kcal_range
curated,789,-MbOeymwkXCAEHpOpd5n,ılık su,,invalid,invalid_kcal_range
curated,793,-MbOkqkHMOk-n1YwgvZ9,ısırgan yaprağı,,invalid,invalid_kcal_range
